stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step,method,subject,side
37,69.6138820000001,1.4588583441595029,0.0847409242,1.3582789999998113,0.5333120000000235,0.8249669999997877,0.6073619631901122,70.43884899999989,70.97216099999991,8453,8517,False,False,1P,S1,right
38,70.97216099999991,1.345865783013681,0.0826761613,1.4666080000001784,0.6499740000001566,0.8166340000000218,0.5568181818181289,71.78879499999994,72.4387690000001,8615,8693,True,True,1P,S1,right
0,2.216578000000027,1.3121343579348863,0.0684022655,1.308281000000079,0.6249750000001768,0.6833059999999023,0.522292993630467,2.899883999999929,3.524859000000106,348,423,False,False,2P,S2,right
1,3.524859000000106,1.315261866982579,0.0612386756,1.241617000000133,0.5999759999999696,0.6416410000001633,0.5167785234900091,4.166500000000269,4.766476000000239,500,572,False,False,2P,S2,right
2,4.766476000000239,1.298891312669508,0.0699247346,1.341613000000052,0.6166420000004109,0.7249709999996412,0.540372670807165,5.49144699999988,6.108089000000291,659,733,False,False,2P,S2,right
3,6.108089000000291,1.317965424887728,0.07222822,1.2749489999996513,0.6249749999997221,0.6499739999999292,0.5098039215687113,6.75806300000022,7.383037999999942,811,886,False,False,2P,S2,right
4,7.383037999999942,1.3030470802731846,0.0670321503,1.2582830000001195,0.5666439999999966,0.6916390000001229,0.5496688741722309,8.074677000000065,8.641321000000062,969,1037,False,False,2P,S2,right
5,8.641321000000062,1.2972171342984142,0.0610973918,1.2499499999998989,0.5999759999999696,0.6499739999999292,0.5199999999999855,9.291294999999993,9.89127099999996,1115,1187,False,False,2P,S2,right
6,9.89127099999996,1.3412477664049116,0.0636308047,1.26661600000034,0.5916430000002038,0.6749730000001364,0.5328947368420698,10.566244000000095,11.1578870000003,1268,1339,False,False,2P,S2,right
7,11.1578870000003,1.2939220536212168,0.0569029912,1.2999479999998584,0.6249750000001768,0.6749729999996816,0.5192307692305809,11.832859999999982,12.45783500000016,1420,1495,False,False,2P,S2,right
8,12.45783500000016,1.3232488264994695,0.0622401323,1.316613999999845,0.6416409999997086,0.6749730000001364,0.5126582278482652,13.132808000000296,13.774449000000004,1576,1653,False,False,2P,S2,right
9,13.774449000000004,1.3109888298429455,0.0609582536,1.3249470000000656,0.6083090000001903,0.7166379999998753,0.5408805031445332,14.49108699999988,15.09939600000007,1739,1812,False,False,2P,S2,right
