,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
257,10.0833,0.3908,0.0735,0.0011,0.0021,-0.0053
258,10.071,0.3907,0.1099,-0.0011,-0.001,-0.0064
259,10.071,0.4148,0.1465,-0.0021,-0.0053,-0.0064
260,10.0834,0.4028,0.1343,-0.0021,-0.0053,-0.0021
261,10.0835,0.3784,0.1221,-0.0032,-0.0054,-0.0054
262,10.0713,0.3907,0.0977,-0.0021,-0.0032,-0.0053
263,10.0835,0.4149,0.1342,-0.0043,-0.0085,-0.0074
264,10.0834,0.3905,0.1099,-0.0053,-0.0064,-0.0064
265,10.0956,0.4028,0.1463,0.0,-0.0053,-0.0085
266,10.0832,0.403,0.1101,-0.0032,-0.0117,-0.0085
267,10.0711,0.415,0.0976,-0.0032,-0.0043,-0.0117
268,10.083,0.4147,0.1463,0.0,-0.0096,-0.0086
269,10.0832,0.4149,0.1098,-0.0043,-0.0064,-0.0107
270,10.0711,0.4152,0.1098,-0.0032,-0.0074,-0.0086
271,10.0954,0.4149,0.0977,-0.0043,-0.0107,-0.0086
272,10.0832,0.4273,0.0978,-0.0085,-0.0086,-0.0075
273,10.0711,0.4515,0.0978,-0.0085,-0.0107,-0.0096
274,10.0832,0.4148,0.0732,-0.0096,-0.0139,-0.0085
275,10.0712,0.4513,0.0609,-0.0054,-0.0085,-0.0085
276,10.0954,0.4271,0.0612,-0.0075,-0.0043,-0.0064
277,10.0588,0.4152,0.0977,-0.0085,-0.0043,-0.0064
278,10.0711,0.4153,0.0494,-0.0096,-0.0096,-0.0064
279,10.0835,0.4271,0.0731,-0.0075,-0.0107,-0.0021
280,10.0473,0.4273,0.0366,-0.0022,-0.0054,-0.0011
281,10.0833,0.4393,0.0853,-0.0032,-0.0053,-0.0011
282,10.1074,0.4634,0.0853,-0.0053,-0.0107,-0.0
283,10.0708,0.4149,0.049,-0.0043,-0.0085,0.0
284,10.0591,0.4152,0.049,-0.0032,-0.0085,-0.0011
285,10.0715,0.4273,0.0368,-0.0064,-0.0074,-0.0021
286,10.0835,0.4151,0.0609,-0.0053,-0.0011,-0.0
287,10.083,0.4032,0.0364,-0.0096,-0.0053,0.0
288,10.0707,0.4269,0.0485,-0.0021,-0.0,-0.0033
289,10.0827,0.391,0.0734,-0.0053,-0.0043,-0.0011
290,10.0835,0.4149,0.0608,-0.0054,-0.0074,0.0
291,10.0715,0.4271,0.0488,0.0,0.0,0.001
292,10.0713,0.4153,0.0612,-0.0096,-0.0011,-0.0
293,10.0591,0.4035,0.0366,-0.0053,-0.0064,-0.0021
294,10.0831,0.4151,0.0368,-0.0011,-0.0032,0.001
295,10.0953,0.4026,0.0486,-0.0043,-0.0011,-0.001
296,10.0713,0.4153,0.0484,-0.0021,-0.001,0.0
297,10.0831,0.4151,0.0364,-0.0011,-0.0,-0.001
298,10.0835,0.427,0.0249,-0.0011,0.0,0.0011
299,10.0709,0.4388,0.0371,-0.0043,0.0,0.0
300,10.0711,0.4146,0.0486,-0.0032,-0.0,0.0
301,10.0831,0.4031,0.0251,-0.0021,-0.0053,0.0021
302,10.0591,0.3909,0.0251,-0.0043,-0.0085,0.0021
303,10.0719,0.4028,0.0366,-0.0043,-0.0075,0.001
304,10.0953,0.4151,0.0488,-0.0031,-0.0011,-0.0
305,10.0947,0.3904,0.0486,0.0011,0.0,-0.001
306,10.095,0.4026,0.0119,-0.001,0.0043,-0.0001
307,10.083,0.3784,0.0483,0.0021,0.0043,-0.0021
308,10.0825,0.3432,0.0247,0.0,0.0064,-0.0021
309,10.0714,0.4028,0.0369,-0.0021,0.0043,-0.001
310,10.1069,0.4145,0.0363,0.0,0.0053,-0.001
